Hizb,Page,Mistakes 1st half,Mistakes 2nd half,isReviewed
1,1,0,0,False
2,11,0,0,False
3,22,0,0,False
4,32,0,0,False
5,42,0,0,False
6,51,0,0,False
7,62,0,0,False
8,72,0,0,False
9,82,0,0,False
10,92,0,0,False
11,102,0,0,False
12,112,0,0,False
13,121,0,0,False
14,132,0,0,False
15,142,0,0,False
16,151,0,0,False
17,162,0,0,False
18,173,0,0,False
19,182,0,0,False
20,192,0,0,False
21,202,0,0,False
22,212,0,0,False
23,222,0,0,False
24,232,0,0,False
25,242,0,0,False
26,252,0,0,False
27,262,0,0,False
28,272,0,0,False
29,282,0,0,False
30,292,0,0,False
31,302,0,0,False
32,312,0,0,False
33,322,0,0,False
34,332,0,0,False
35,342,0,0,False
36,352,0,0,False
37,362,0,0,False
38,372,0,0,False
39,382,0,0,False
40,392,0,0,False
41,402,0,0,False
42,412,0,0,False
43,422,0,0,False
44,432,0,0,False
45,442,0,0,False
46,452,0,0,False
47,462,0,0,False
48,472,0,0,False
49,482,0,0,False
50,492,0,0,False
51,502,0,0,False
52,512,0,0,False
53,522,0,0,False
54,532,0,0,False
55,542,0,0,False
56,552,0,0,False
57,562,0,0,False
58,572,0,0,False
59,582,0,0,False
60,591,0,0,False